feat,gain,split
acqic,159834.67278385162,3826
bacno,932366.314283371,14208
cano,262263.2556385994,5399
conam,556954.4749259949,10764
contp,4016.2679386138916,204
csmcu,81648.43828725815,939
ecfg,35736.49841737747,862
etymd,78417.50751113892,463
flbmk,3908.424895763397,213
flg_3dsmk,19612.28539466858,328
hcefg,0.0,0
insfg,4273.495439529419,128
iterm,532.9645228385925,77
mcc,153456.72648000717,4352
mchno,867189.5485548973,3626
ovrlt,4376.250789165497,205
scity,132559.53327274323,2348
stocn,2944560.127002716,852
stscd,57462.39382696152,706
